id,sku,name,brand_name,price,discount,discount_rate,rating_average,review_count,order_count,favourite_count,productset_id,seller,inventory,stock_item,seller_product_id,quantity_sold,original_price,shippable,availability,primary_category_path,product_reco_score,seller_id,thumbnail_url
188844932,9188631117954,Điện thoại Xiaomi Redmi Note 11 4GB/64GB Xanh Dương Đậm - Hàng Chính Hãng,Xiaomi,4716000,0,0,0,0,0,0,2647,,,,216725169,,4716000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/f3/fb/87/4db1b0278f239b5e9a5a02ea662683cb.jpg
166034907,9579865393130,Điện Thoại Oppo A76 (6GB/128G) - Hàng Chính Hãng,OPPO,5436000,0,0,0,0,0,0,2647,,,,253399715,,5436000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/3e/9d/7e/e3d1f1ebe69414bce614689e603b75f8.jpg
188701072,8313341492971,Điện thoại Samsung Galaxy A13 4GB/128GB Xanh - Hàng Chính Hãng,Samsung,3759000,431000,10,0,0,0,0,2647,,,,196284626,,4190000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/16/f0/87/3bb5d7dcea47428b4791990622e8a8e9.jpg
195928164,5862455390562,Điện thoại OPPO Reno8 (8 GB/256 GB) - Hàng chính hãng,OPPO,7956000,0,0,0,0,0,0,2647,,,,253399190,,7956000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/5e/1c/84/7c373c5df27ec5082eff664075a6abe6.jpg
193769168,1649166949931,Điện thoại OPPO A57 (4GB/64GB) - Hàng chính hãng,OPPO,4284000,0,0,0,0,0,0,2647,,,,253386249,,4284000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/48/d3/56/38c329cde6176b1f74f809fa91cac363.jpg
194489407,4374925856988,Điện Thoại Oppo Reno8 Z 5G (8GB/256GB) - Hàng Chính Hãng,OPPO,8644000,0,0,0,0,0,0,2647,,,,253386398,,8644000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/34/f0/58/264c8aa7d29df05c26a0adcaf98b8675.jpg
190702391,5016402306460,Điện thoại Samsung A73 8GB/128GB Trắng - Hàng chính hãng,Samsung,9016000,2484000,22,0,0,0,0,2647,,,,196285525,,11500000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/4b/ff/75/55d52954383f28ca3a524113ef1b1696.jpg
159887172,8164963472495,Điện Thoại Galaxy Z Flip3 5G 8GB/256GB - Hàng chính hãng chưa active,Samsung,22450000,0,0,0,0,0,0,2647,,,,159887192,1.0,22450000,True,1,1/2/1789/1795,0,261128,https://salt.tikicdn.com/cache/280x280/ts/product/53/2b/0d/cb6a97644f49fd959ebb32668f35838e.jpg
191689878,2680121211225,Điện thoại OPPO CPH2387 - A57 Xanh - Hàng Chính Hãng,OPPO,4632000,0,0,0,0,0,0,2647,,,,253385448,,4632000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/d7/dd/cf/0f532364ded061d710172de78612f326.jpg
197497444,2369300311641,Điện Thoại Oppo Reno8 Z 5G 8GB/256GB - Hàng Chính Hãng,OPPO,8644000,0,0,0,0,0,0,2647,,,,253386526,,8644000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/29/4f/90/8099107baec809e4ffdf201951d71c9c.png
